date,icecream,tempF,year,month,drownings
1999-01-01,86.6642,33.78,1999,1,122
1999-02-01,100.9355,39.49,1999,2,140
1999-03-01,106.7293,42.78,1999,3,171
1999-04-01,112.9988,51.55,1999,4,243
1999-05-01,116.6131,60.04,1999,5,355
1999-06-01,129.2208,68.29,1999,6,525
1999-07-01,122.4808,74.28,1999,7,733
1999-08-01,119.9945,72.88,1999,8,498
1999-09-01,103.839,64.33,1999,9,291
1999-10-01,92.4087,54.75,1999,10,189
1999-11-01,84.5929,48.11,1999,11,145
1999-12-01,79.7724,36.1,1999,12,117
2000-01-01,93.6473,33.57,2000,1,129
2000-02-01,111.6562,39.78,2000,2,132
2000-03-01,125.4853,46.02,2000,3,173
2000-04-01,136.9963,52.57,2000,4,243
2000-05-01,136.069,63.12,2000,5,423
2000-06-01,150.6406,69.01,2000,6,570
2000-07-01,145.9384,73.85,2000,7,667
2000-08-01,132.2865,74.01,2000,8,474
2000-09-01,117.5833,65.55,2000,9,286
2000-10-01,114.1199,55.08,2000,10,174
2000-11-01,92.9416,38.01,2000,11,114
2000-12-01,88.8042,28.44,2000,12,97
2001-01-01,101.6991,31.37,2001,1,112
2001-02-01,116.3371,33.96,2001,2,118
2001-03-01,123.0567,41.47,2001,3,159
2001-04-01,134.7902,53.08,2001,4,259
2001-05-01,132.3744,62.8,2001,5,380
2001-06-01,148.8482,69.21,2001,6,533
2001-07-01,141.881,74.44,2001,7,620
2001-08-01,135.1581,74.28,2001,8,490
2001-09-01,128.9848,65.68,2001,9,214
2001-10-01,115.4418,54.36,2001,10,150
2001-11-01,105.3932,47.39,2001,11,128
2001-12-01,104.9055,36.12,2001,12,118
2002-01-01,121.3158,34.48,2002,1,109
2002-02-01,144.1095,36.39,2002,2,109
2002-03-01,155.6754,39.54,2002,3,182
2002-04-01,169.7339,53.49,2002,4,223
2002-05-01,165.7156,59.27,2002,5,385
2002-06-01,189.441,70.84,2002,6,603
2002-07-01,173.7877,75.83,2002,7,664
2002-08-01,163.7624,72.82,2002,8,448
2002-09-01,151.1039,66.83,2002,9,270
2002-10-01,137.2045,51.82,2002,10,181
2002-11-01,114.9338,41.95,2002,11,149
2002-12-01,105.9673,35.08,2002,12,124
2003-01-01,125.665,32.81,2003,1,107
2003-02-01,142.8629,32.79,2003,2,107
2003-03-01,145.1406,43.29,2003,3,174
2003-04-01,151.9039,51.89,2003,4,223
2003-05-01,147.8241,60.96,2003,5,358
2003-06-01,163.3819,68.02,2003,6,511
2003-07-01,146.5788,75.43,2003,7,627
2003-08-01,141.5868,74.62,2003,8,486
2003-09-01,127.1347,64.94,2003,9,281
2003-10-01,116.203,56.53,2003,10,173
2003-11-01,107.0145,42.35,2003,11,151
2003-12-01,93.8148,35.29,2003,12,108
2004-01-01,104.4333,30.36,2004,1,137
2004-02-01,126.4047,33.57,2004,2,124
2004-03-01,140.8692,47.39,2004,3,205
2004-04-01,149.0872,52.66,2004,4,243
2004-05-01,150.9055,61.9,2004,5,407
2004-06-01,169.5419,68.05,2004,6,482
2004-07-01,157.7358,72.88,2004,7,597
2004-08-01,153.988,70.14,2004,8,394
2004-09-01,144.8648,65.64,2004,9,292
2004-10-01,139.9525,55.35,2004,10,179
2004-11-01,120.8914,43.99,2004,11,115
2004-12-01,111.6288,35.06,2004,12,133
2005-01-01,130.6816,33.39,2005,1,154
2005-02-01,148.6679,37.94,2005,2,132
2005-03-01,159.7847,42.31,2005,3,187
2005-04-01,172.3854,52.25,2005,4,245
2005-05-01,170.5034,59.54,2005,5,347
2005-06-01,196.8124,69.19,2005,6,574
2005-07-01,190.8705,75.29,2005,7,701
2005-08-01,179.8691,73.18,2005,8,483
2005-09-01,154.2384,67.35,2005,9,301
2005-10-01,144.679,55.36,2005,10,193
2005-11-01,122.6092,45.0,2005,11,139
2005-12-01,107.2923,32.7,2005,12,126
2006-01-01,131.2438,38.93,2006,1,157
2006-02-01,144.7537,34.83,2006,2,114
2006-03-01,156.8569,42.6,2006,3,187
2006-04-01,168.2466,55.24,2006,4,283
2006-05-01,160.4283,62.26,2006,5,395
2006-06-01,183.1851,70.74,2006,6,533
2006-07-01,176.5745,76.39,2006,7,729
2006-08-01,164.7848,73.38,2006,8,439
2006-09-01,146.8643,63.28,2006,9,268
2006-10-01,128.3083,52.57,2006,10,169
2006-11-01,111.4224,44.08,2006,11,157
2006-12-01,102.6208,36.57,2006,12,148
2007-01-01,126.6542,31.35,2007,1,127
2007-02-01,139.5296,32.41,2007,2,128
2007-03-01,153.5633,47.64,2007,3,222
2007-04-01,170.5131,50.54,2007,4,236
2007-05-01,167.8347,62.31,2007,5,369
2007-06-01,180.6566,69.85,2007,6,523
2007-07-01,167.7465,74.68,2007,7,570
2007-08-01,149.6989,74.62,2007,8,519
2007-09-01,142.4231,66.42,2007,9,292
2007-10-01,126.7269,56.66,2007,10,202
2007-11-01,104.3557,43.99,2007,11,116
2007-12-01,99.8139,33.22,2007,12,139
2008-01-01,108.342,30.27,2008,1,138
2008-02-01,125.2187,34.7,2008,2,147
2008-03-01,140.2501,41.86,2008,3,207
2008-04-01,142.2733,50.38,2008,4,278
2008-05-01,144.1359,59.34,2008,5,377
2008-06-01,169.9436,69.58,2008,6,552
2008-07-01,145.4806,74.05,2008,7,642
2008-08-01,140.2323,72.25,2008,8,476
2008-09-01,124.4111,65.19,2008,9,269
2008-10-01,109.2991,53.98,2008,10,190
2008-11-01,102.7658,43.92,2008,11,137
2008-12-01,84.0551,31.87,2008,12,135
2009-01-01,94.4831,31.05,2009,1,101
2009-02-01,115.5718,36.77,2009,2,134
2009-03-01,130.0315,42.87,2009,3,204
2009-04-01,133.4842,50.9,2009,4,251
2009-05-01,138.4156,61.63,2009,5,382
2009-06-01,150.8166,68.5,2009,6,552
2009-07-01,134.8953,72.61,2009,7,616
2009-08-01,132.9375,71.87,2009,8,498
2009-09-01,119.8118,66.36,2009,9,274
2009-10-01,107.1039,50.49,2009,10,194
2009-11-01,88.1264,45.82,2009,11,167
2009-12-01,78.0359,29.64,2009,12,144
2010-01-01,91.5746,30.67,2010,1,152
2010-02-01,110.8467,31.8,2010,2,134
2010-03-01,127.4988,43.56,2010,3,182
2010-04-01,133.0682,53.24,2010,4,264
2010-05-01,134.9866,59.86,2010,5,475
2010-06-01,144.412,70.47,2010,6,573
2010-07-01,129.2689,74.7,2010,7,683
2010-08-01,125.9579,74.03,2010,8,535
2010-09-01,116.4392,66.47,2010,9,311
2010-10-01,98.0633,56.14,2010,10,200
2010-11-01,81.3444,42.31,2010,11,148
2010-12-01,73.0101,32.47,2010,12,125
2011-01-01,92.9024,29.71,2011,1,117
2011-02-01,106.4983,33.04,2011,2,138
2011-03-01,114.605,43.07,2011,3,185
2011-04-01,116.9863,51.96,2011,4,260
2011-05-01,116.4971,59.11,2011,5,390
2011-06-01,121.1482,69.8,2011,6,567
2011-07-01,116.6219,76.12,2011,7,759
2011-08-01,115.3602,74.98,2011,8,415
2011-09-01,102.0726,66.07,2011,9,280
2011-10-01,91.3853,55.08,2011,10,169
2011-11-01,76.7486,43.74,2011,11,132
2011-12-01,71.6824,35.4,2011,12,144
2012-01-01,85.6755,36.12,2012,1,150
2012-02-01,99.8912,37.51,2012,2,157
2012-03-01,112.8627,50.4,2012,3,226
2012-04-01,115.1947,54.68,2012,4,213
2012-05-01,114.946,63.43,2012,5,362
2012-06-01,124.7489,70.52,2012,6,582
2012-07-01,112.6862,76.73,2012,7,651
2012-08-01,107.9771,73.78,2012,8,451
2012-09-01,96.659,66.29,2012,9,318
2012-10-01,89.1425,53.89,2012,10,183
2012-11-01,75.0442,44.01,2012,11,123
2012-12-01,68.9501,35.92,2012,12,135
2013-01-01,78.3128,32.25,2013,1,155
2013-02-01,98.2728,34.77,2013,2,133
2013-03-01,108.1424,40.89,2013,3,180
2013-04-01,108.1681,49.66,2013,4,197
2013-05-01,111.1827,60.84,2013,5,334
2013-06-01,129.015,70.38,2013,6,572
2013-07-01,112.668,74.19,2013,7,637
2013-08-01,106.3571,72.97,2013,8,417
2013-09-01,98.4931,66.94,2013,9,309
2013-10-01,91.2998,53.42,2013,10,184
2013-11-01,80.3538,41.61,2013,11,153
2013-12-01,68.0587,31.06,2013,12,120
2014-01-01,86.7394,30.56,2014,1,146
2014-02-01,102.1462,32.13,2014,2,137
2014-03-01,114.2468,40.51,2014,3,186
2014-04-01,119.8445,51.69,2014,4,254
2014-05-01,117.0956,61.27,2014,5,394
2014-06-01,131.5288,69.57,2014,6,531
2014-07-01,117.6641,73.27,2014,7,582
2014-08-01,111.7324,72.21,2014,8,421
2014-09-01,100.8416,66.16,2014,9,285
2014-10-01,91.4077,56.91,2014,10,203
2014-11-01,86.6581,39.25,2014,11,145
2014-12-01,75.4082,36.81,2014,12,122
2015-01-01,85.5765,33.08,2015,1,146
2015-02-01,100.5297,32.99,2015,2,120
2015-03-01,109.5388,45.39,2015,3,199
2015-04-01,108.3387,53.22,2015,4,247
2015-05-01,106.0831,60.82,2015,5,386
2015-06-01,116.2572,71.33,2015,6,598
2015-07-01,108.6164,73.89,2015,7,594
2015-08-01,112.6259,72.91,2015,8,491
2015-09-01,100.8993,68.5,2015,9,285
2015-10-01,94.619,57.24,2015,10,216
2015-11-01,86.6448,44.58,2015,11,160
2015-12-01,77.7972,38.64,2015,12,160
2016-01-01,93.9212,32.22,2016,1,159
2016-02-01,103.2755,39.47,2016,2,184
2016-03-01,117.6855,47.48,2016,3,215
2016-04-01,125.7572,53.19,2016,4,299
2016-05-01,122.8885,60.31,2016,5,368
2016-06-01,134.1418,71.74,2016,6,547
2016-07-01,125.4995,75.2,2016,7,656
2016-08-01,121.404,73.51,2016,8,506
2016-09-01,107.5312,67.1,2016,9,311
2016-10-01,100.3325,57.7,2016,10,204
2016-11-01,85.2612,47.95,2016,11,181
2016-12-01,79.4805,32.95,2016,12,156
2017-01-01,88.4067,33.57,2017,1,178
2017-02-01,106.3211,41.16,2017,2,171
2017-03-01,113.6086,46.13,2017,3,206
2017-04-01,116.0445,53.78,2017,4,274
2017-05-01,109.8462,60.55,2017,5,358
2017-06-01,115.9028,70.32,2017,6,564
2017-07-01,109.7949,75.69,2017,7,662
2017-08-01,107.6918,72.0,2017,8,464
2017-09-01,93.1467,66.25,2017,9,295
2017-10-01,88.0929,55.69,2017,10,222
2017-11-01,76.1513,45.03,2017,11,164
2017-12-01,74.9925,34.29,2017,12,151
2018-01-01,86.3398,32.16,2018,1,177
2018-02-01,104.8506,35.51,2018,2,162
2018-03-01,110.244,42.73,2018,3,212
2018-04-01,118.9649,49.01,2018,4,247
2018-05-01,113.1537,65.5,2018,5,390
2018-06-01,130.7824,71.53,2018,6,543
2018-07-01,121.9846,75.43,2018,7,667
2018-08-01,117.4817,73.49,2018,8,463
2018-09-01,107.5669,67.51,2018,9,305
2018-10-01,100.7074,53.71,2018,10,241
2018-11-01,84.8186,40.01,2018,11,154
2018-12-01,76.4683,35.51,2018,12,149
